source,target,status,installDate,fromXYZ,toXYZ,X1,Y1,Z1,X2,Y2,Z2,ORIG_FID,Shape_Length,bearingDegrees,lengthMetersGeodesic,link_ID
1934,10,fiber,1646974800000,"-73.9844644,40.7160869,84","-74.0031106,40.7414291,95",-73.9844644,40.7160869,84,-74.0031106,40.7414291,95,840,0.03146280167,323.6552318,3225.077231,831
5218,48,active,1579755600000,"-73.975613,40.669443,58","-73.976359,40.667571,60",-73.975613,40.669443,58,-73.976359,40.667571,60,211,0.002015167487,201.7274931,217.2402989,205
5126,48,active,1585454400000,"-73.9746121,40.6692385,58","-73.976359,40.667571,60",-73.9746121,40.6692385,58,-73.976359,40.667571,60,250,0.002414998108,226.3321418,236.8686779,243
10349,48,active,1635048000000,"-73.9758748,40.6661711,66","-73.976359,40.667571,60",-73.9758748,40.6661711,66,-73.976359,40.667571,60,689,0.001481272983,340.9204259,160.7565596,680
5712,115,active,1633320000000,"-73.954692,40.73683,22","-73.950671,40.734025,14",-73.954692,40.73683,22,-73.950671,40.734025,14,660,0.004902699868,124.8991522,460.8621225,651
7103,115,active,1637125200000,"-73.9517631,40.733932,17","-73.950671,40.734025,14",-73.9517631,40.733932,17,-73.950671,40.734025,14,711,0.001096052649,85.13260419,92.82874687,702
11558,115,active,1659153600000,"-73.9508906,40.7335377,11","-73.950671,40.734025,14",-73.9508906,40.7335377,11,-73.950671,40.734025,14,913,0.0005344955098,24.25853794,57.20526871,904
10697,135,active,1659758400000,"-73.940934,40.830417,78","-73.943009,40.825018,30",-73.940934,40.830417,78,-73.943009,40.825018,30,918,0.005784014696,201.023287,624.5892173,909
2663,227,active,1542949200000,"-73.997066,40.716808,28","-74.00127188,40.7111043,180",-73.997066,40.716808,28,-74.00127188,40.7111043,180,5,0.007086721404,216.4048786,726.2776424,5
3004,227,active,1552622400000,"-73.9921089,40.7133356,33","-74.00127188,40.7111043,180",-73.9921089,40.7133356,33,-74.00127188,40.7111043,180,17,0.009430742398,256.3141293,812.953699,17
2749,227,active,1552795200000,"-74.003608,40.713162,73","-74.00127188,40.7111043,180",-74.003608,40.713162,73,-74.00127188,40.7111043,180,19,0.003113131212,131.3742276,301.9634505,19
3037,227,active,1553659200000,"-73.995095,40.713777,28","-74.00127188,40.7111043,180",-73.995095,40.713777,28,-74.00127188,40.7111043,180,21,0.006730317364,246.6021459,600.4300188,21
2441,227,active,1553832000000,"-73.9904178,40.7165586,48","-74.00127188,40.7111043,180",-73.9904178,40.7165586,48,-74.00127188,40.7111043,180,24,0.01214744588,243.3199459,1099.100921,24
3072,227,active,1553918400000,"-73.9884895,40.7252828,29","-74.00127188,40.7111043,180",-73.9884895,40.7252828,29,-74.00127188,40.7111043,180,25,0.01908976433,222.0356903,1909.315449,25
3219,227,active,1557288000000,"-73.9903625,40.7159773,29","-74.00127188,40.7111043,180",-73.9903625,40.7159773,29,-74.00127188,40.7111043,180,37,0.01194825097,245.930648,1068.921219,37
3127,227,active,1560657600000,"-73.994627499999993,40.7245532,31","-74.00127188,40.7111043,180",-73.9946275,40.7245532,31,-74.00127188,40.7111043,180,54,0.01500068989,206.2915067,1595.510922,54
2915,227,active,1561780800000,"-73.9981808,40.7165463,25","-74.00127188,40.7111043,180",-73.9981808,40.7165463,25,-74.00127188,40.7111043,180,60,0.006258605241,209.5967661,658.3535223,60
3531,227,active,1564545600000,"-73.995697499999991,40.7126343,28","-74.00127188,40.7111043,180",-73.9956975,40.7126343,28,-74.00127188,40.7111043,180,74,0.005780537379,254.6519851,500.7435294,74
