,id,x,y,z,point_radius,status,requestDate,installDate,roofAccess,notes,panoramas,class,boroughCode,neighborhoodCode,borough,neighborhood,Date_Year
0,10,-74.0031106,40.7414291,95.0,9.5,Installed,1428255931797,1645592400000,0,POP - no antenna,[],,1,16,Manhattan,Chelsea,2015
1,48,-73.976359,40.667571,60.0,6.0,Installed,1432934990587,1574571600000,-1,Omni,"[""48.jpg"",""48a.jpg""]",,3,129,Brooklyn,Park Slope,2015
2,115,-73.950671,40.734025,14.0,1.4,Installed,1439345541817,1574312400000,-1,hub Omni+sector,"[""115.jpg"",""115a.jpg""]",hub,3,113,Brooklyn,Greenpoint,2015
3,135,-73.943009,40.825018,30.0,3.0,Installed,1439478683601,1463284800000,-1,hub Omni+sector,"[""""135.jpg""""]",hub,1,4,Manhattan,Harlem,2015
4,218,-73.9255912,40.7011353,25.0,2.5,Installed,1446000664320,1460433600000,-1,lbe DIY,"[""""218.jpg""""]",,4,221,Brooklyn,Bushwick,2015
5,227,-74.00127188,40.7111043,180.0,18.0,Installed,1446989439601,1479445200000,-1,"Supernode 1, Sector facing North","[""227.jpg"",""227a.jpg"",""227b.png""]",supernode,1,33,Manhattan,Two Bridges,2015
6,248,-73.998085,40.712137,23.0,2.3,Installed,1452702345679,1533268800000,0,Omni,"[""""248.jpg""""]",,1,31,Manhattan,Civic Center,2016
7,303,-73.925104,40.698524,23.5,2.35,Installed,1454985296937,1542344400000,-1,Omni,"[""303.jpg"",""303a.jpg"",""303b.jpg"",""303c.jpg""]",,4,221,Brooklyn,Bushwick,2016
8,329,-73.94197707,40.71748272,26.5,2.65,Installed,1459986259793,1490673600000,-1,hub Omni + sector (vpn),"[""329.jpg"",""329a.jpg"",""329b.jpg"",""329c.jpg""]",hub,4,216,Brooklyn,Williamsburg,2016
9,368,-73.967036,40.634763,29.0,2.9,Installed,1469464656949,1490328000000,0,hub Omni sector,"[""""368.jpg""""]",hub,3,139,Brooklyn,Flatbush,2016
10,407,-73.9903657,40.7132593,40.0,4.0,Installed,1473785770087,1510981200000,-1,hub Sector Omni,"[""407.jpg"",""407a.jpg"",""407b.jpg"",""407c.jpg""]",hub,1,29,Manhattan,Lower East Side,2016
11,465,-73.987972,40.713663,25.0,2.5,Installed,1484153176594,1504152000000,-1,Omni,"[""465.jpg"",""465a.jpg""]",,1,29,Manhattan,Lower East Side,2017
12,507,-73.986421,40.718849,34.0,3.4,Installed,1490679120209,1619064000000,0,Gigabeam to Rivington,"[""""507.jpg""""]",,1,29,Manhattan,Lower East Side,2017
13,518,-73.999212,40.713959,26.0,2.6,Installed,1491713182348,1623470400000,-1,Omni only,"[""518.jpg"",""518a.jpg"",""518b.jpg"",""518c.jpg""]",,1,30,Manhattan,Chinatown,2017
14,529,-73.922893,40.704449,23.0,2.3,Installed,1492715499611,1497758400000,-1,Kiosk,"[""""529.jpg""""]",,4,221,Brooklyn,Bushwick,2017
15,561,-73.9960491,40.7130955,31.0,3.1,Installed,1496184548559,1497326400000,-1,Kiosk,"[""561.jpg"",""561a.jpg"",""561b.jpg""]",,1,30,Manhattan,Chinatown,2017
16,624,-73.921143,40.695028,20.0,2.0,Installed,1504309786864,1554955200000,-1,Omni,"[""""624.jpg""""]",,4,221,Brooklyn,Bushwick,2017
17,627,-73.937334,40.697263,43.0,4.3,Installed,1504723680522,1540526400000,-1,Omni,[],,3,122,Brooklyn,Bedford-Stuyvesant,2017
18,659,-73.9898209,40.7158174,26.0,2.6,Installed,1509136889584,1512277200000,-1,hub Omni,"[""""659.jpg""""]",hub,1,30,Manhattan,Chinatown,2017
19,664,-73.91519213,40.70569317,34.0,3.4,Installed,1510584584691,1527393600000,-1,hub sectors,[],hub,4,218,Queens,Ridgewood,2017
20,669,-73.9474877,40.6876593,23.0,2.3,Installed,1511312437078,1535428800000,-1,hub sectors,[],hub,3,122,Brooklyn,Bedford-Stuyvesant,2017
21,672,-73.904269,40.702476,33.0,3.3,Installed,1511373978483,1556856000000,-1,Omni,"[""""672.jpg""""]",,4,218,Queens,Ridgewood,2017
22,686,-73.9913174,40.7134528,26.0,2.6,Installed,1511670915175,1512277200000,-1,Omni,"[""686.jpg"",""686a.jpg""]",,1,30,Manhattan,Chinatown,2017
23,690,-73.9803875,40.7248868,17.0,1.7,Installed,1511804450189,1595995200000,0,lbe only,"[""690.jpg"",""690a.jpg""]",,1,24,Manhattan,East Village,2017
24,699,-73.9903481,40.7275726,29.0,2.9,Installed,1512137053571,1514437200000,-1,lbe only,"[""""699.jpg""""]",,1,24,Manhattan,East Village,2017
25,713,-74.0049043,40.6578673,57.0,5.7,Installed,1512605871958,1540008000000,-1,Supernode 3,"[""713.jpg"",""713a.jpg"",""713b.jpg"",""713c.jpg""]",supernode,3,137,Brooklyn,Sunset Park,2017
26,729,-73.980396,40.729267,22.0,2.2,Installed,1512937944405,1515387600000,-1,Supernode 3,"[""729.jpg"",""729a.jpg"",""729b.jpg""]",supernode,1,24,Manhattan,East Village,2017
27,731,-73.9807304,40.7246763,33.0,3.3,Installed,1512972311086,1536292800000,-1,hub Omni+sector,[],hub,1,24,Manhattan,East Village,2017
28,774,-73.934413,40.70834,13.0,1.3,Installed,1513289396549,1558756800000,-1,DIY,[],,4,216,Brooklyn,Williamsburg,2017
29,779,-73.9669942,40.6761753,47.0,4.7,Installed,1513291985878,1646110800000,-1,Omni,[],,3,126,Brooklyn,Prospect Heights,2017
30,944,-73.954802,40.680269,39.0,3.9,Installed,1513622781352,1518757200000,-1,hub Omni (kiosk backup),"[""944.jpg"",""944a.jpg"",""944b.jpg"",""944c.jpg"",""944d.jpg""]",hub,3,122,Brooklyn,Bedford-Stuyvesant,2017
31,994,-73.994532,40.711488,36.0,3.6,Installed,1513826982428,1530417600000,0,hub Omni (kiosk backup),"[""""994.jpg""""]",hub,1,33,Manhattan,Two Bridges,2017
32,1008,-73.9245959,40.688952,24.0,2.4,Installed,1513885170592,1554523200000,-1,hub Omni (kiosk backup),[],hub,3,122,Brooklyn,Bedford-Stuyvesant,2017
33,1084,-73.945977,40.729614,16.0,1.6,Installed,1514150599953,1572667200000,-1,hub Omni,"[""1084.jpg"",""1084a.jpg"",""1084b.jpg"",""1084c.jpg"",""1084d.jpg""]",hub,3,113,Brooklyn,Greenpoint,2017
34,1085,-73.913547,40.699679,29.0,2.9,Installed,1514405397907,1546059600000,-1,hub Omni,"[""1085.jpg"",""1085a.jpg""]",hub,4,221,Brooklyn,Bushwick,2017
35,1146,-73.955055,40.679572,37.0,3.7,Installed,1514742515947,1616299200000,-1,Omni,"[""""1146.jpg""""]",,3,122,Brooklyn,Bedford-Stuyvesant,2017
36,1158,-73.979443,40.72402,20.0,2.0,Installed,1514995975639,1515992400000,-1,Omni,"[""1158.jpg"",""1158a.jpg""]",,1,24,Manhattan,East Village,2018
37,1159,-73.947817,40.682521,30.0,3.0,Installed,1514929915604,1648353600000,-1,Omni,[],,3,122,Brooklyn,Bedford-Stuyvesant,2018
38,1167,-73.946151,40.727545,18.0,1.8,Installed,1515005198047,1515992400000,-1,hub Omni,"[""""1167.jpg""""]",hub,3,113,Brooklyn,Greenpoint,2018
39,1275,-73.994532,40.711488,36.0,3.6,Installed,1516219895150,1517374800000,0,"kiosk, The Lot Radio","[""""1275.jpg""""]",,1,33,Manhattan,Two Bridges,2018
40,1340,-73.9174933,40.6860156,64.0,6.4,Installed,1516770520860,1526616000000,-1,hub,"[""""1340.jpg""""]",hub,3,122,Brooklyn,Bedford-Stuyvesant,2018
41,1350,-73.94745158,40.68750962,31.0,3.1,Installed,1516905439650,1535428800000,-1,hub Omni,"[""""1350.jpg""""]",hub,3,122,Brooklyn,Bedford-Stuyvesant,2018
42,1384,-73.9789042,40.7138949,53.0,5.3,Installed,1517413703138,1519794000000,0,hub Omni,"[""1384.jpg"",""1384a.jpg""]",hub,1,29,Manhattan,Lower East Side,2018
43,1386,-73.984538,40.7259315,21.0,2.1,Installed,1517440381786,1522900800000,-1,SXT,[],,1,24,Manhattan,East Village,2018
44,1397,-73.9792572,40.7255765,24.0,2.4,Installed,1517582348215,1564372800000,-1,SXT,"[""""1397.jpg""""]",,1,24,Manhattan,East Village,2018
45,1417,-73.9354884,40.7136172,14.0,1.4,Installed,1518040495957,1520913600000,-1,hub sectors,"[""1417.jpg"",""1417a.jpg""]",hub,4,216,Brooklyn,Williamsburg,2018
46,1430,-73.987055,40.721199,28.0,2.8,Installed,1518359374844,1541566800000,0,Omni,"[""""1430.jpg""""]",,1,29,Manhattan,Lower East Side,2018
47,1440,-73.9955139,40.7120289,24.0,2.4,Installed,1518529592281,1518584400000,-1,Hub Omni,[],,1,33,Manhattan,Two Bridges,2018
48,1447,-73.9972814,40.659747,36.0,3.6,Installed,1518711780410,1597550400000,-1,Omni,"[""""1447.jpg""""]",,3,137,Brooklyn,Sunset Park,2018
49,1474,-73.9799956,40.6775292,25.0,2.5,Installed,1519334183108,1524024000000,-1,SXT solo,"[""1474.jpg"",""1474a.jpg"",""1474b.jpg""]",,3,129,Brooklyn,Park Slope,2018
50,1491,-73.923297,40.706311,24.0,2.4,Installed,1519759325407,1524196800000,-1,Kiosk,"[""1491.jpg"",""1491a.jpg"",""1491b.jpg"",""1491c.jpg"",""1491d.jpg""]",,4,221,Brooklyn,Bushwick,2018
51,1547,-73.9024659,40.7041039,39.0,3.9,Installed,1521407543749,1592798400000,-1,Omni,[],,4,218,Queens,Ridgewood,2018
52,1597,-73.990326,40.72759,33.0,3.3,Installed,1522676214471,1522900800000,-1,460-12D,[],,1,24,Manhattan,East Village,2018
53,1598,-73.9050673,40.696279,26.0,2.6,Installed,1522682074988,1616817600000,-1,Omni,"[""""1598.jpg""""]",,4,218,Queens,Ridgewood,2018
