OID_,from_,to,status,installDate,X1,Y1,Z1,X2,Y2,Z2,position,COUNT
1,2074,1384,active,1515387600000.000000000000000,-73.979332700000001,40.713153100000000,76.000000000000000,-73.978904200000002,40.713894900000000,53.000000000000000,START,1
2,1430,2463,active,1541566800000.000000000000000,-73.987054999999998,40.721198999999999,28.000000000000000,-73.988092999999992,40.719777999999998,72.000000000000000,START,1
3,1946,303,active,1542517200000.000000000000000,-73.924993000000001,40.698238000000003,13.000000000000000,-73.925104000000005,40.698523999999999,23.500000000000000,START,1
4,1606,329,active,1542690000000.000000000000000,-73.946429600000002,40.717801000000001,15.000000000000000,-73.941977069999993,40.717482720000000,26.500000000000000,START,1
5,2663,227,active,1542949200000.000000000000000,-73.997066000000004,40.716808000000000,28.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,1
6,2590,2463,active,1543726800000.000000000000000,-73.985880999999992,40.720793000000000,20.000000000000000,-73.988092999999992,40.719777999999998,72.000000000000000,START,2
7,1916,1340,active,1544072400000.000000000000000,-73.917657399999996,40.657320800000001,28.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
8,1085,1340,active,1546059600000.000000000000000,-73.913546999999994,40.699679000000003,29.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
9,2900,2463,active,1548824400000.000000000000000,-73.980654999999999,40.722670000000001,21.000000000000000,-73.988092999999992,40.719777999999998,72.000000000000000,START,1
10,1386,2274,active,1550034000000.000000000000000,-73.984538000000001,40.725931500000002,21.000000000000000,-73.983418000000000,40.725749999999998,34.000000000000000,START,1
11,2932,1340,active,1550638800000.000000000000000,-73.913891199999995,40.697507100000003,24.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
12,2874,1340,active,1550898000000.000000000000000,-73.928278199999994,40.685950499999997,25.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
13,2857,1340,active,1551330000000.000000000000000,-73.930907399999995,40.676810799999998,28.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
14,2961,1340,active,1551589200000.000000000000000,-73.911496999999997,40.694653000000002,27.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
15,465,407,active,1551762000000.000000000000000,-73.987971999999999,40.713662999999997,25.000000000000000,-73.990365699999998,40.713259299999997,40.000000000000000,START,2
16,2998,1340,active,1552363200000.000000000000000,-73.916698999999994,40.684669999999997,20.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
17,3004,227,active,1552622400000.000000000000000,-73.992108900000005,40.713335600000001,33.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,1
18,2882,1340,active,1552708800000.000000000000000,-73.911253099999996,40.681513000000002,31.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
19,2749,227,active,1552795200000.000000000000000,-74.003608000000000,40.713161999999997,73.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,1
20,2743,1340,active,1553400000000.000000000000000,-73.911062799999996,40.703281900000000,34.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
21,3037,227,active,1553659200000.000000000000000,-73.995095000000006,40.713777000000000,28.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,1
22,1971,3037,active,1553659200000.000000000000000,-73.994821999999999,40.712772999999999,55.000000000000000,-73.995095000000006,40.713777000000000,28.000000000000000,START,1
23,2983,2463,active,1553745600000.000000000000000,-73.989545399999997,40.723926700000000,29.000000000000000,-73.988092999999992,40.719777999999998,72.000000000000000,START,1
24,2441,227,active,1553832000000.000000000000000,-73.990417800000003,40.716558599999999,48.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,1
25,3072,227,active,1553918400000.000000000000000,-73.988489500000000,40.725282800000002,29.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,1
26,3016,731,active,1553918400000.000000000000000,-73.981071000000000,40.727888999999998,27.000000000000000,-73.980730400000013,40.724676300000013,33.000000000000000,START,3
27,2934,1417,active,1554436800000.000000000000000,-73.940488999999999,40.714038000000002,22.000000000000000,-73.935488399999997,40.713617200000002,14.000000000000000,START,1
28,1008,1340,active,1554523200000.000000000000000,-73.924595900000000,40.688952000000000,24.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
29,2959,1340,active,1554609600000.000000000000000,-73.928760400000002,40.685903199999998,24.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,2
30,3075,2959,active,1554609600000.000000000000000,-73.928765999999996,40.685929999999999,25.000000000000000,-73.928760400000002,40.685903199999998,24.000000000000000,START,1
31,2959,2949,active,1554609600000.000000000000000,-73.928760400000002,40.685903199999998,24.000000000000000,-73.928708000000000,40.685932000000001,24.000000000000000,START,2
32,3102,1340,active,1554955200000.000000000000000,-73.914017500000000,40.691509199999999,24.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
33,624,1340,active,1554955200000.000000000000000,-73.921143000000001,40.695028000000001,20.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,4
34,3035,1340,active,1556510400000.000000000000000,-73.949839299999994,40.684981700000002,26.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,5
35,3175,2463,active,1556596800000.000000000000000,-73.984822999999992,40.720061700000002,26.000000000000000,-73.988092999999992,40.719777999999998,72.000000000000000,START,1
36,672,1340,active,1556856000000.000000000000000,-73.904268999999999,40.702475999999997,33.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
37,3219,227,active,1557288000000.000000000000000,-73.990362500000003,40.715977299999999,29.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,2
38,3213,1340,active,1557460800000.000000000000000,-73.930323999999999,40.697265999999999,31.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,2
39,2874,2959,active,1557547200000.000000000000000,-73.928278199999994,40.685950499999997,25.000000000000000,-73.928760400000002,40.685903199999998,24.000000000000000,START,2
40,2959,3002,active,1557547200000.000000000000000,-73.928760400000002,40.685903199999998,24.000000000000000,-73.929017999999999,40.685555999999998,24.000000000000000,START,8
41,2874,3002,active,1557547200000.000000000000000,-73.928278199999994,40.685950499999997,25.000000000000000,-73.929017999999999,40.685555999999998,24.000000000000000,START,4
42,2874,3176,active,1557547200000.000000000000000,-73.928278199999994,40.685950499999997,25.000000000000000,-73.928364999999999,40.685974999999999,25.000000000000000,START,1
43,3220,3002,active,1557547200000.000000000000000,-73.929007999999996,40.685529000000002,25.000000000000000,-73.929017999999999,40.685555999999998,24.000000000000000,START,1
44,3234,1417,active,1558065600000.000000000000000,-73.938109999999995,40.713952999999997,19.000000000000000,-73.935488399999997,40.713617200000002,14.000000000000000,START,1
45,2573,3077,active,1558152000000.000000000000000,-73.928511000000000,40.685569999999998,24.000000000000000,-73.928484799999993,40.685612900000002,24.000000000000000,START,1
46,3077,2874,active,1558152000000.000000000000000,-73.928484799999993,40.685612900000002,24.000000000000000,-73.928278199999994,40.685950499999997,25.000000000000000,START,4
47,3077,2959,active,1558152000000.000000000000000,-73.928484799999993,40.685612900000002,24.000000000000000,-73.928760400000002,40.685903199999998,24.000000000000000,START,1
48,1417,774,active,1558756800000.000000000000000,-73.935488399999997,40.713617200000002,14.000000000000000,-73.934413000000006,40.708340000000000,13.000000000000000,START,1
49,2090,2463,active,1559361600000.000000000000000,-73.954098000000002,40.725627000000003,17.000000000000000,-73.988092999999992,40.719777999999998,72.000000000000000,START,1
50,3282,1340,active,1559448000000.000000000000000,-73.905727099999993,40.687236800000001,25.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
51,3326,1340,active,1560052800000.000000000000000,-73.938485000000000,40.675802900000001,38.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,3
52,3300,713,active,1560571200000.000000000000000,-73.995498299999994,40.660963600000002,33.000000000000000,-74.004904299999993,40.657867299999999,57.000000000000000,START,1
53,3284,713,active,1560571200000.000000000000000,-74.001994900000000,40.650379000000001,43.000000000000000,-74.004904299999993,40.657867299999999,57.000000000000000,START,2
54,3127,227,active,1560657600000.000000000000000,-73.994627499999993,40.724553200000003,31.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,1
55,2462,713,active,1561089600000.000000000000000,-74.001461000000006,40.655126000000003,17.000000000000000,-74.004904299999993,40.657867299999999,57.000000000000000,START,1
56,3354,713,active,1561435200000.000000000000000,-74.001421299999990,40.660916999999998,16.000000000000000,-74.004904299999993,40.657867299999999,57.000000000000000,START,1
57,3354,3312,active,1561435200000.000000000000000,-74.001421299999990,40.660916999999998,16.000000000000000,-74.001200999999995,40.661088999999997,-1.000000000000000,START,1
58,12557,713,active,1561521600000.000000000000000,-74.009229899999994,40.647376000000001,41.000000000000000,-74.004904299999993,40.657867299999999,57.000000000000000,START,1
59,3377,731,active,1561608000000.000000000000000,-73.979506200000003,40.725337300000000,24.000000000000000,-73.980730400000013,40.724676300000013,33.000000000000000,START,2
60,2915,227,active,1561780800000.000000000000000,-73.998180800000000,40.716546299999997,25.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,1
61,3410,2274,active,1562558400000.000000000000000,-73.989480000000000,40.728659999999998,27.000000000000000,-73.983418000000000,40.725749999999998,34.000000000000000,START,2
62,3625,8536,active,1562904000000.000000000000000,-73.930047999999999,40.697445999999999,29.000000000000000,-73.930323999999999,40.697265999999999,31.000000000000000,START,2
63,2603,659,active,1562990400000.000000000000000,-73.990417800000003,40.714280000000002,26.000000000000000,-73.989820899999998,40.715817399999999,26.000000000000000,START,3
64,3480,1340,active,1562990400000.000000000000000,-73.910978599999993,40.680005500000000,36.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
65,3607,2646,active,1563076800000.000000000000000,-73.945961999999994,40.682839999999999,28.000000000000000,-73.946441100000001,40.683513200000000,26.000000000000000,START,1
66,3578,2274,active,1563163200000.000000000000000,-73.981446599999998,40.729303700000003,25.000000000000000,-73.983418000000000,40.725749999999998,34.000000000000000,START,1
67,2699,2090,active,1563249600000.000000000000000,-73.952312000000006,40.725467000000002,12.000000000000000,-73.954098000000002,40.725627000000003,17.000000000000000,START,1
68,3623,731,active,1563336000000.000000000000000,-73.978755899999996,40.725754700000003,25.000000000000000,-73.980730400000013,40.724676300000013,33.000000000000000,START,2
69,3305,1350,active,1563508800000.000000000000000,-73.949598199999997,40.686888900000000,24.000000000000000,-73.947451580000006,40.687509620000000,31.000000000000000,START,1
70,3110,664,active,1563854400000.000000000000000,-73.914673999999991,40.705604999999998,32.000000000000000,-73.915192129999994,40.705693170000004,34.000000000000000,START,1
71,3606,1417,active,1564200000000.000000000000000,-73.921884399999996,40.708457199999998,28.000000000000000,-73.935488399999997,40.713617200000002,14.000000000000000,START,2
72,3353,2090,active,1564286400000.000000000000000,-73.954789899999994,40.726912599999999,19.000000000000000,-73.954098000000002,40.725627000000003,17.000000000000000,START,1
73,1397,731,active,1564372800000.000000000000000,-73.979257199999992,40.725576500000003,24.000000000000000,-73.980730400000013,40.724676300000013,33.000000000000000,START,2
74,3531,227,active,1564545600000.000000000000000,-73.995697499999991,40.712634299999998,28.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,1
75,1971,3531,active,1564545600000.000000000000000,-73.994821999999999,40.712772999999999,55.000000000000000,-73.995697499999991,40.712634299999998,28.000000000000000,START,1
