OID_,id,status,lon,lat,z,requestDate,installDate,roofAccess,notes,name,neighborhood,boroughCode,borough,neighborhoodCode
1,2,Installed,-73.929181700000001,40.768655400000000,37,1426436311615.000000000000000,1627185600000.000000000000000,false,Peter,,Astoria,4,Queens,92
2,3,Installed,-73.987881000000002,40.724868000000001,27,1426436311615.000000000000000,1413259200000.000000000000000,false,Hub: LiteBeamLR to SN1 plus kiosk failover,Brian,East Village,1,Manhattan,127
3,4,Interested,-73.964924800000006,40.697047900000001,38,1426799281289.000000000000000,,true,,,Clinton Hill,3,Brooklyn,165
4,5,Interested,-74.005892399999993,40.707459399999998,133,1427232396127.000000000000000,,false,,,Financial District,1,Manhattan,148
5,7,Installed,-73.988123000000002,40.724390000000000,28,1427322174567.000000000000000,1413259200000.000000000000000,true,DBA bar,,East Village,1,Manhattan,127
6,10,Installed,-74.003110599999999,40.741429099999998,95,1428255931797.000000000000000,1645592400000.000000000000000,false,POP - no antenna,111 8th POP,Chelsea,1,Manhattan,107
7,15,Interested,-73.947592799999995,40.710373400000002,22,1428268274455.000000000000000,,false,,,Williamsburg,4,Brooklyn,145
8,16,Interested,-74.003202900000005,40.741354899999997,95,1428268293614.000000000000000,,true,,,Chelsea,1,Manhattan,107
9,17,Interested,-73.921285800000007,40.694428199999997,74,1428350681862.000000000000000,,false,,,Bushwick,4,Brooklyn,157
10,19,Installed,-73.984540999999993,40.720397599999998,29,1428678488881.000000000000000,1441425600000.000000000000000,false,Omni,,Lower East Side,1,Manhattan,137
11,20,Interested,-73.948436700000002,40.682150900000003,28,1429296712412.000000000000000,,true,,,Bedford-Stuyvesant,3,Brooklyn,169
12,24,Interested,-73.918188200000003,40.765404099999998,-2,1430342691761.000000000000000,,true,,,Astoria,4,Queens,92
13,25,Interested,-73.811499299999994,40.586724699999998,-2,1430679449910.000000000000000,,true,"multiple locations, ",,Rockaway Beach,4,Queens,276
14,26,Interested,-73.978279000000001,40.713355999999997,-2,1430888466667.000000000000000,,false,,,Lower East Side,1,Manhattan,137
15,28,Installed,-73.956822000000003,40.805048200000002,75,1430914430408.000000000000000,1433044800000.000000000000000,false,rem,,Harlem,1,Manhattan,71
16,30,Interested,-73.962983100000002,40.718788400000001,19,1431094948363.000000000000000,,true,,,Williamsburg,4,Brooklyn,145
17,31,Interested,-73.968222200000000,40.707729399999998,13,1431891206261.000000000000000,,true,,,Williamsburg,4,Brooklyn,145
18,33,Interested,-73.912901700000006,40.765102900000002,38,1432913719923.000000000000000,,false,,,Astoria,4,Queens,92
19,34,Interested,-74.033814999999990,40.624030200000000,40,1432914157028.000000000000000,,true,,,Fort Hamilton,3,Brooklyn,234
20,40,Interested,-73.938115900000000,40.615451999999998,13,1432919839325.000000000000000,,false,,,Marine Park,3,Brooklyn,239
21,42,Installed,-74.000403000000006,40.679071999999998,25,1432923945485.000000000000000,1463630400000.000000000000000,false,rem,,Carroll Gardens,3,Brooklyn,173
22,48,Installed,-73.976359000000002,40.667571000000002,60,1432934990587.000000000000000,1574571600000.000000000000000,true,Omni,,Park Slope,3,Brooklyn,179
23,57,Interested,-73.976624799999996,40.720468400000001,46,1432961813383.000000000000000,,false,,,East Village,1,Manhattan,127
24,58,Interested,-73.939120500000001,40.611451799999998,74,1432966694881.000000000000000,,true,,,Marine Park,3,Brooklyn,239
25,59,Interested,-74.026535899999999,40.631405999999998,-1,1432990990017.000000000000000,,false,,,Bay Ridge,3,Brooklyn,209
26,61,Interested,-73.955402000000007,40.720211999999997,74,1433003871530.000000000000000,,true,,,Williamsburg,4,Brooklyn,145
27,62,Interested,-74.030180599999994,40.625683400000000,21,1433004646548.000000000000000,,true,,,Bay Ridge,3,Brooklyn,209
28,75,Interested,-73.956019400000002,40.772027899999998,34,1433256889710.000000000000000,,true,,,Upper East Side,1,Manhattan,90
29,80,Interested,-73.902294800000007,40.862725300000001,48,1433607401400.000000000000000,,true,,,University Heights,2,Bronx,35
30,82,Interested,-73.980462399999993,40.725714199999999,24,1433704644617.000000000000000,,false,,,East Village,1,Manhattan,127
31,89,Interested,-73.983463200000003,40.607663899999999,81,1434046697541.000000000000000,,true,,,Bensonhurst,3,Brooklyn,237
32,91,Interested,-74.024702000000005,40.627943000000002,16,1435100871423.000000000000000,1463630400000.000000000000000,true,,,Bay Ridge,3,Brooklyn,209
33,92,Interested,-73.987417899999997,40.743768500000002,68,1435100871423.000000000000000,,true,,,Midtown,1,Manhattan,99
34,93,Installed,-73.985822200000001,40.703110600000002,38,1435100948795.000000000000000,1459742400000.000000000000000,true,rem,,DUMBO,3,Brooklyn,151
35,94,Interested,-73.975539499999996,40.658705099999999,64,1435196021451.000000000000000,,true,,,Windsor Terrace,3,Brooklyn,191
36,98,Interested,-73.924019099999995,40.746479200000003,32,1435358171420.000000000000000,,true,,,Sunnyside,4,Queens,112
37,99,Interested,-73.999232000000006,40.674230999999999,74,1436207596598.000000000000000,,false,,,Carroll Gardens,3,Brooklyn,173
38,101,Interested,-73.984590999999995,40.663283999999997,27,1437005254996.000000000000000,,true,,,South Slope,3,Brooklyn,183
39,106,Interested,-73.890580000000000,40.770324000000002,17,1438675037450.000000000000000,,true,,,Ditmars Steinway,4,Queens,88
40,109,Installed,-73.948649000000003,40.673946999999998,42,1439328419553.000000000000000,1441166400000.000000000000000,true,,,Crown Heights,3,Brooklyn,180
41,114,Interested,-74.008157199999999,40.738160999999998,73,1439344485154.000000000000000,,true,,,West Village,1,Manhattan,118
42,115,Installed,-73.950671000000000,40.734025000000003,14,1439345541817.000000000000000,1574312400000.000000000000000,true,hub Omni+sector,Green,Greenpoint,3,Brooklyn,123
43,117,Interested,-73.951753999999994,40.687609999999999,26,1439348816918.000000000000000,,true,,,Bedford-Stuyvesant,3,Brooklyn,169
44,118,Interested,-73.943853000000004,40.690733999999999,16,1439355086075.000000000000000,,true,,,Bedford-Stuyvesant,3,Brooklyn,169
45,122,Interested,-73.918998999999999,40.706938999999998,12,1439406157425.000000000000000,,true,,,Bushwick,4,Brooklyn,157
46,126,Interested,-73.964343900000003,40.756395699999999,75,1439469910835.000000000000000,,false,,,Midtown,1,Manhattan,99
47,133,Interested,-73.991046299999994,40.736432200000003,35,1439478443758.000000000000000,,false,,,Chelsea,1,Manhattan,107
48,134,Interested,-73.991046299999994,40.736432200000003,35,1439478443758.000000000000000,,false,,,Chelsea,1,Manhattan,107
49,135,Installed,-73.943009000000004,40.825018000000000,30,1439478683601.000000000000000,1463284800000.000000000000000,true,,Edgecombe,Harlem,1,Manhattan,71
50,140,Interested,-73.952123099999994,40.808872500000000,16,1439482569554.000000000000000,,true,,,Harlem,1,Manhattan,71
51,152,Interested,-73.951834000000005,40.687589000000003,61,1439490170858.000000000000000,,true,,,Bedford-Stuyvesant,3,Brooklyn,169
52,157,Installed,-73.931209999999993,40.697747999999997,30,1439499733605.000000000000000,1461902400000.000000000000000,true,rem,,Bushwick,4,Brooklyn,157
53,183,Installed,-73.976679599999997,40.724871499999999,27,1443548196514.000000000000000,1462680000000.000000000000000,true,rem,,East Village,1,Manhattan,127
54,191,Installed,-73.987898000000001,40.724868000000001,32,1443746370781.000000000000000,1459051200000.000000000000000,false,Lee-Ann,,East Village,1,Manhattan,127
55,194,Installed,-73.992992200000003,40.735012400000002,17,1444059238906.000000000000000,1458446400000.000000000000000,false,rem,,Greenwich Village,1,Manhattan,122
56,201,Installed,-73.986574399999995,40.727904000000002,26,1444151201476.000000000000000,1458964800000.000000000000000,true,,,East Village,1,Manhattan,127
57,218,Installed,-73.925591200000000,40.701135299999997,25,1446000664320.000000000000000,1460433600000.000000000000000,true,lbe DIY,,Bushwick,4,Brooklyn,157
58,227,Installed,-74.001271880000004,40.711104300000002,180,1446989439601.000000000000000,1479445200000.000000000000000,true,"Supernode 1, Sector facing North",Supernode 1,Two Bridges,1,Manhattan,146
59,229,Installed,-73.946695599999998,40.716856000000000,16,1446747498384.000000000000000,1466568000000.000000000000000,true,,,Williamsburg,4,Brooklyn,145
60,232,Installed,-73.987898000000001,40.724868000000001,32,1449088437065.000000000000000,1455858000000.000000000000000,false,,,East Village,1,Manhattan,127
61,248,Installed,-73.998085000000003,40.712136999999998,23,1452702345679.000000000000000,1533268800000.000000000000000,false,Omni,,Civic Center,1,Manhattan,140
62,303,Installed,-73.925104000000005,40.698523999999999,,1454985296937.000000000000000,1542344400000.000000000000000,true,Omni,Dekalb,Bushwick,4,Brooklyn,157
63,305,Installed,-73.978218999999996,40.747186900000003,32,1455238349206.000000000000000,1463371200000.000000000000000,false,rem,,Murray Hill,1,Manhattan,106
64,315,Installed,-73.989165999999997,40.729512999999997,31,1457297880036.000000000000000,1524715200000.000000000000000,false,rem,,East Village,1,Manhattan,127
65,323,Installed,-73.909663199999997,40.704628900000003,38,1458609753724.000000000000000,1512104400000.000000000000000,true,,,Ridgewood,4,Queens,149
66,324,Installed,-73.987898000000001,40.724868000000001,32,1458873187096.000000000000000,1458878400000.000000000000000,false,Danny,,East Village,1,Manhattan,127
67,328,Installed,-73.987881000000002,40.724868000000001,27,1459889567673.000000000000000,1463284800000.000000000000000,false,Oliver,,East Village,1,Manhattan,127
68,329,Installed,-73.941977069999993,40.717482720000000,26,1459986259793.000000000000000,1490673600000.000000000000000,true,hub Omni + sector (vpn),Simona,Williamsburg,4,Brooklyn,145
69,330,Installed,-73.987968899999998,40.724626000000001,20,1460529313117.000000000000000,1464753600000.000000000000000,false,,,East Village,1,Manhattan,127
70,342,Interested,-73.945362700000004,40.783272500000002,39,1464308977243.000000000000000,,false,,,Upper East Side,1,Manhattan,90
71,352,Installed,-73.987898000000001,40.724868000000001,32,1468547636405.000000000000000,1468555200000.000000000000000,false,Rob,,East Village,1,Manhattan,127
72,368,Installed,-73.967035999999993,40.634763000000000,29,1469464656949.000000000000000,1490328000000.000000000000000,false,hub Omni sector,Vlado,Flatbush,3,Brooklyn,199
73,407,Installed,-73.990365699999998,40.713259299999997,40,1473785770087.000000000000000,1510981200000.000000000000000,true,hub Sector Omni,Henry,Lower East Side,1,Manhattan,137
74,465,Installed,-73.987971999999999,40.713662999999997,25,1484153176594.000000000000000,1504152000000.000000000000000,true,Omni,,Lower East Side,1,Manhattan,137
75,468,Installed,-73.986759000000006,40.728456000000001,25,1484416428378.000000000000000,1496721600000.000000000000000,true,,,East Village,1,Manhattan,127
